type	chapter_no	service_no	description_de	description_fr	description_it	valid_from	valid_until
srv	3.1	3069	Paartanz, online live, pro 1 Lektion	Danse en couple, en ligne et en direct, par leçon	Ballo di coppia, online live, 1 lezione	2027-01-01	9998-12-31
srv	3.1	3013	Paartanz, pro 1 Monat	Danse en couple, par mois	Ballo di coppia, 1 mese	2021-01-01	9998-12-31
srv	3.1	3070	Paartanz, online live, pro 1 Monat	Danse en couple, en ligne et en direct, par mois	Ballo di coppia, online live, 1 mese	2027-01-01	9998-12-31
srv	3.1	3071	Paartanz, Personal Training	Danse en couple, entraînement personnalisé	Ballo di coppia, personal training	2027-01-01	9998-12-31
srv	3.1	3072	Paartanz, Personal Training, online live	Danse en couple, entraînement personnalisé, en ligne et en direct	Ballo di coppia, personal training, online live	2027-01-01	9998-12-31
srv	3.1	3022	Solotanz, pro 1 Lektion	Danse en solo, par leçon	Danza individuale, 1 lezione	2021-01-01	9998-12-31
srv	3.1	3073	Solotanz, online live, pro 1 Lektion	Danse en solo, en ligne et en direct, par leçon	Danza individuale, online live, 1 lezione	2027-01-01	9998-12-31
srv	3.1	3021	Solotanz, pro 1 Monat	Danse en solo, par mois	Danza individuale, 1 mese	2021-01-01	9998-12-31
srv	3.1	3074	Solotanz, online live, pro 1 Monat	Danse en solo, en ligne et en direct, par mois	Danza individuale, online live, 1 mese	2027-01-01	9998-12-31
srv	3.1	3075	Solotanz, Personal Training	Danse en solo, entraînement personnalisé	Danza individuale, personal training	2027-01-01	9998-12-31
srv	3.1	3076	Solotanz, Personal Training, online live	Danse en solo, entraînement personnalisé, en ligne et en direct	Danza individuale, personal training, online live	2027-01-01	9998-12-31
srv	3.1	3077	Hip-Hop, pro 1 Lektion	Danse hip-hop, par leçon	Hip hop, 1 lezione	2027-01-01	9998-12-31
srv	3.1	3078	Hip-Hop, online live, pro 1 Lektion	Danse hip-hop, en ligne et en direct, par leçon	Hip hop, online live, 1 lezione	2027-01-01	9998-12-31
srv	3.1	3079	Hip-Hop, pro 1 Monat	Danse hip-hop, par mois	Hip hop, 1 mese	2027-01-01	9998-12-31
srv	3.1	3080	Hip-Hop, online live, pro 1 Monat	Danse hip-hop, en ligne et en direct, par mois	Hip hop, online live, 1 mese	2027-01-01	9998-12-31
srv	3.1	3081	Hip-Hop, Personal Training	Danse hip-hop, entraînement personnalisé	Hip hop, personal training	2027-01-01	9998-12-31
srv	3.1	3082	Hip-Hop, Personal Training, online live	Danse hip-hop, entraînement personnalisé, en ligne et en direct	Hip hop, personal training, online live	2027-01-01	9998-12-31
srv	3.1	3008	Kampfsport Light (ohne Körperkontakt), pro 1 Lektion	Sports de combat light (sans contact physique), par leçon	Sport da combattimento light (senza contatto fisico), 1 lezione	2021-01-01	9998-12-31
srv	3.1	3083	Kampfsport Light (ohne Körperkontakt), online live, pro 1 Lektion	Sports de combat light (sans contact physique), en ligne et en direct, par leçon	Sport da combattimento light (senza contatto fisico), online live, 1 lezione	2027-01-01	9998-12-31
srv	3.1	3007	Kampfsport Light (ohne Körperkontakt), pro 1 Monat	Sports de combat light (sans contact physique), par mois	Sport da combattimento light (senza contatto fisico), 1 mese	2021-01-01	9998-12-31
srv	3.1	3084	Kampfsport Light (ohne Körperkontakt), online live, pro 1 Monat	Sports de combat light (sans contact physique), en ligne et en direct, par mois	Sport da combattimento light (senza contatto fisico), online live, 1 mese	2027-01-01	9998-12-31
srv	3.1	3085	Kampfsport Light (ohne Körperkontakt), Personal Training	Sports de combat light (sans contact physique), entraînement personnalisé	Sport da combattimento light (senza contatto fisico), personal training	2027-01-01	9998-12-31
